No,Area,Title,Authors,Year,Venue,DOI,OpenAccess
1,Probability theory,On the Movement of Small Particles Suspended in a Stationary Liquid Demanded by the Molecular-Kinetic Theory of Heat,A. Einstein,1905,Annalen der Physik,10.1002/andp.19053220806,public domain; widely mirrored
2,Probability theory,Über die analytischen Methoden in der Wahrscheinlichkeitsrechnung,A. N. Kolmogorov,1931,Mathematische Annalen,10.1007/BF01457949,GDZ (open)
3,Probability theory,Differential-Space,N. Wiener,1923,Journal of Mathematics and Physics,10.1002/sapm192321131,Wiley / mirrored
4,Probability theory,Eine neue Herleitung des Exponentialgesetzes in der Wahrscheinlichkeitsrechnung,J. W. Lindeberg,1922,Mathematische Zeitschrift,10.1007/BF01494395,GDZ / Springer
5,Probability theory,A Stochastic Approximation Method,"H. Robbins, S. Monro",1951,Annals of Mathematical Statistics,10.1214/aoms/1177729586,Project Euclid (open)
6,Probability theory,On Information and Sufficiency,"S. Kullback, R. A. Leibler",1951,Annals of Mathematical Statistics,10.1214/aoms/1177729694,Project Euclid (open)
7,Probability theory,"La prévision : ses lois logiques, ses sources subjectives",B. de Finetti,1937,Annales de l'Institut Henri Poincaré,,Numdam (open)
8,Probability theory,The Fundamental Limit Theorems in Probability,W. Feller,1945,Bulletin of the American Mathematical Society,10.1090/S0002-9904-1945-08448-1,AMS (open)
9,Probability theory,Regularity Properties of Certain Families of Chance Variables,J. L. Doob,1940,Transactions of the American Mathematical Society,10.1090/S0002-9947-1940-0002052-6,AMS (open)
10,Probability theory,The Gaussian Law of Errors in the Theory of Additive Number Theoretic Functions,"P. Erdős, M. Kac",1940,American Journal of Mathematics,10.2307/2371483,JSTOR / institutional
11,Probability theory,Distribution of Eigenvalues for Some Sets of Random Matrices,"V. A. Marchenko, L. A. Pastur",1967,Matematicheskii Sbornik,10.1070/SM1967v001n04ABEH001994,IOP / institutional
12,Stochastic processes / SDEs,Stochastic Integral,K. Itô,1944,Proceedings of the Imperial Academy (Tokyo),10.3792/pia/1195572786,Project Euclid (open)
